Text,Sentiment,Topic
"The rooms are extremely small, practically only a bed.",negative,Comfort
Room safe did not work.,negative,Facilities
Mattress very comfortable.,positive,Comfort
"Very uncomfortable, thin mattress, with plastic cover that rustles every time you move.",negative,Comfort
No bathroom in room,negative,Facilities
The bed was soooo comfy.,positive,Comfort
someone must have been smoking in the room next door.,negative,Cleanliness
The bed is very comfortable.,positive,Comfort
"Very spacious rooms, quiet and very comfortable.",positive,Comfort
For 3 people in a bedroom the sofa bed is a bit unconfortable.,negative,Comfort
Lights in the common room were too dim.,negative,Facilities
Air conditioning working fine.,positive,Comfort
"So if you're the type that likes to let water run a bit before getting wet or it takes a minute to figure out how to make it hot, you're gonna get wet.",negative,Facilities
the windows are only single glazed so the heat could escape- although to be fair it was -6 outside!,negative,Comfort
"Terrible, small cubbyholes, which are marketed as rooms.",negative,Facilities
"Corridors filthy
Room filthy
Electrical cables in room not safe
Whole building smelly
Shower repulsive",negative,Cleanliness
walls seem to have no sound insulation,negative,Facilities
The gym was very small and basic,negative,Facilities
"The mattresses were too ""springy"" and uncomfortable.",negative,Comfort
very light and the comfy of the bed was unbeatable.,negative,Comfort
Shows some wear and tear.,negative,Facilities
"Some thinks didnt work well : air, tv , open windows,",negative,Facilities
Microwave needed!,negative,Facilities
Room wasn't cleaned or bed made up,negative,Cleanliness
"The room had cable TV, a safe, an iron, a hairdryer and free coffee & tea in the downstairs area.",positive,Facilities
"The heat in the room fluctuated -- at times it felt a little draft, and on my last night, the fan was really loud.",negative,Comfort
- The room was cold.,negative,Comfort
"The building was under renovation,",positive,Facilities
The water pressure was not that strong in the shower.,negative,Facilities
Room too small to open suitcase.,negative,Facilities
no elevator might be a challenge for some people,negative,Facilities
Pay extra.. :( Room was tiny,negative,Facilities
and hip and CLEAN!,positive,Cleanliness
Comfortable bed and selection of pillows.,positive,Comfort
The TV was not working.,negative,Facilities
The walk up 4 stories,negative,Facilities
Hallways to room stale and didn't feel clean.,negative,Cleanliness
there was a building under construction across the road which was extremely noisy throughout the day.,negative,Comfort
Bathtub not clean.,negative,Facilities
Hot water was abundant and the A/C (window unit) was ice cold - Excellent!,positive,Facilities
"Access to fitness facilities, especially the pool was a real value added.",positive,Facilities
Barely room for anything else than sleep.,negative,Comfort
Lift was a bit of a pain with card access.,negative,Facilities
Could have used a little more counter room in bath and we didn't think the restaurant looked very inviting compared to the rest of the hotel.,negative,Facilities
"The bed was highly uncomfortable, although the engineer fixed it",negative,Comfort
The memory foam mattress - we all agreed the best night's sleep in a hotel EVER...,positive,Comfort
Toilet paper wasn't replaced everyday!,negative,Comfort
The extra beds are not the greatest (a futon and a sleeper couch),negative,Comfort
Room was extremely cramped.,negative,Comfort
Shower cap n sanitary bags not available in the room.,negative,Facilities
it was freezing cold in my room for the night I stayed.,negative,Comfort
Outside seating was lovely,negative,Comfort
The heating was unbelievably noisy during the night.,negative,Comfort
"bed, smell.",negative,Cleanliness
Bathroom area large would have been nice with a bathtub.,positive,Facilities
Shared restrooms do not support many rooms and/or many people.,negative,Comfort
Stiff feel to the place- no amenities.,negative,Facilities
"Lovely room, bed was so comfortable!",positive,Comfort
Every 15 minutes door were slamming & lights on.,negative,Comfort
"After that time, mostly quiet apart from some door slamming by other guests.",negative,Comfort
The top of the window was then covered by the dirty blind.,negative,Cleanliness
